sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,Placed
1,M,70.56,Central,81.61,Others,Science,84.69,Arts,Yes,79.92,Mkt&Fin,91.65,Placed,349749.259823577,Yes
2,F,78.79,Others,80.89,Central,Arts,58.62,Arts,No,88.71,Mkt&Fin,73.51,Not Placed,349749.259823577,No
3,F,94.44,Central,63.19,Others,Arts,88.75,Comm&Mgmt,Yes,57.47,Mkt&HR,86.03,Placed,349749.259823577,Yes
4,M,60.32,Others,98.12,Others,Commerce,79.63,Sci&Tech,No,94.64,Mkt&Fin,69.14,Placed,349749.259823577,Yes
5,F,56.47,Others,54.63,Central,Science,90.22,Arts,No,53.16,Mkt&HR,89.37,Not Placed,251995,No
6,F,51.49,Others,79.43,Others,Arts,63.09,Sci&Tech,No,71.09,Mkt&Fin,74.36,Not Placed,350976,No
7,F,68.74,Central,80.95,Others,Science,58.82,Arts,No,82.72,Mkt&HR,59.28,Placed,349749.259823577,Yes
8,M,91.1,Others,52.9,Central,Commerce,84.34,Comm&Mgmt,No,72.78,Mkt&Fin,59.94,Placed,414256,Yes
9,M,55.24,Others,60.87,Central,Commerce,83.87,Sci&Tech,Yes,72.78,Mkt&HR,51.69,Not Placed,349749.259823577,No
10,F,76.34,Others,77.55,Central,Arts,95.09,Arts,No,79.63,Mkt&Fin,51.62,Placed,349749.259823577,Yes
11,M,97.41,Others,79.35,Others,Science,54.3,Arts,Yes,72.95,Mkt&Fin,94.02,Placed,349749.259823577,Yes
12,M,74.01,Others,87.73,Others,Arts,67.21,Comm&Mgmt,No,79.07,Mkt&Fin,92,Placed,349749.259823577,Yes
13,F,67.8,Central,87.65,Central,Commerce,52.42,Comm&Mgmt,No,77.81,Mkt&Fin,69.47,Not Placed,338050,No
14,M,57.36,Others,94.62,Others,Arts,77.23,Sci&Tech,Yes,91.12,Mkt&Fin,76.42,Not Placed,351675,No
15,M,75.78,Others,67.78,Central,Arts,59.96,Sci&Tech,No,89.52,Mkt&HR,59.84,Not Placed,273612,No
16,F,82.79,Central,94.27,Central,Arts,60.93,Sci&Tech,No,58.03,Mkt&HR,99.54,Placed,349749.259823577,Yes
17,F,52.32,Central,83.86,Others,Commerce,91.17,Comm&Mgmt,Yes,59.53,Mkt&HR,76.56,Not Placed,349749.259823577,No
18,M,60.97,Others,90.56,Others,Science,86.56,Sci&Tech,No,62.55,Mkt&HR,65.58,Not Placed,349749.259823577,No
19,F,83.89,Central,78.63,Central,Commerce,65.72,Sci&Tech,Yes,55.06,Mkt&Fin,90.18,Placed,262497,Yes
20,F,64.48,Central,95.05,Others,Science,79.57,Comm&Mgmt,Yes,94.84,Mkt&Fin,86.14,Placed,401124,Yes
21,F,61.18,Others,84.16,Central,Science,94.05,Sci&Tech,Yes,73.77,Mkt&Fin,54.99,Placed,349749.259823577,Yes
22,F,85.27,Central,92.78,Central,Commerce,51.43,Comm&Mgmt,Yes,91.39,Mkt&Fin,77.09,Placed,357521,Yes
23,F,89.31,Others,79.86,Others,Commerce,53.92,Comm&Mgmt,No,72.73,Mkt&Fin,70.86,Not Placed,349749.259823577,No
24,F,88.91,Central,88.36,Central,Commerce,88.99,Comm&Mgmt,No,96.04,Mkt&Fin,85.05,Not Placed,349749.259823577,No
25,F,62.55,Central,56.89,Others,Commerce,78.91,Sci&Tech,No,50.82,Mkt&HR,50.59,Placed,349749.259823577,Yes
26,F,52.54,Central,87.52,Others,Arts,76.81,Comm&Mgmt,No,51.71,Mkt&HR,62.74,Placed,349749.259823577,Yes
27,M,73.45,Central,74,Central,Arts,67.07,Sci&Tech,Yes,64.17,Mkt&Fin,87.1,Placed,349749.259823577,Yes
28,F,92.78,Central,95.76,Others,Arts,61.02,Sci&Tech,No,69.29,Mkt&HR,73.53,Placed,349749.259823577,Yes
29,F,62.67,Central,50.67,Central,Arts,67.56,Sci&Tech,No,81.9,Mkt&Fin,61.31,Not Placed,493438,No
30,M,55.36,Others,51.02,Others,Commerce,82.3,Arts,Yes,63.8,Mkt&Fin,88.06,Placed,349749.259823577,Yes
31,M,58.58,Central,63.95,Central,Arts,59.75,Comm&Mgmt,No,69.57,Mkt&Fin,75.73,Not Placed,349749.259823577,No
32,M,72.35,Central,61.26,Central,Commerce,52.12,Sci&Tech,Yes,60.03,Mkt&HR,94.14,Not Placed,349749.259823577,No
33,M,56.01,Others,93.24,Central,Commerce,65.44,Comm&Mgmt,Yes,79.1,Mkt&HR,87.02,Placed,349749.259823577,Yes
34,M,70.95,Others,58.19,Central,Commerce,99.28,Sci&Tech,No,81.78,Mkt&HR,76.68,Not Placed,430243,No
35,M,66.78,Others,98.47,Central,Commerce,83.33,Sci&Tech,No,55.17,Mkt&HR,70.42,Not Placed,349749.259823577,No
36,F,61.72,Central,56.98,Central,Arts,93.36,Sci&Tech,No,50.36,Mkt&Fin,64.82,Not Placed,349749.259823577,No
